"point" "x" "y" "z"
"379" "-5.26560020" "-16.33629990" "11.83580017"
"380" "-6.95769978" "-16.49419975" "6.50409985"
"381" "-5.97889996" "-17.44790077" "11.87880039"
"382" "-5.46759987" "-16.32530022" "11.95219994"
"383" "-7.09480000" "-16.36479950" "6.54110003"
"384" "-5.59480000" "-16.32369995" "12.02890015"
"385" "-5.66359997" "-16.33189964" "12.07479954"
"386" "-5.95590019" "-16.38170052" "11.38969994"
"387" "-7.06969976" "-16.36549950" "7.97599983"
"388" "-6.97359991" "-18.38109970" "12.87370014"
"389" "-7.09410000" "-16.36179924" "8.74079990"
"390" "-5.79090023" "-15.91720009" "12.85420036"
"391" "-7.23969984" "-18.45890045" "13.06379986"
"392" "-7.01529980" "-16.44669914" "11.15939999"
"393" "-6.38049984" "-17.19359970" "16.05970001"
"394" "-6.61460018" "-16.98819923" "14.99689960"
"395" "-6.52680016" "-16.00950050" "13.37889957"
"396" "-7.22310019" "-16.36890030" "12.12709999"
"397" "-6.95669985" "-16.49290085" "14.94209957"
"398" "-7.20349979" "-16.38960075" "14.02330017"
"399" "-7.36810017" "-16.59729958" "14.24199963"
"400" "-8.00669956" "-16.06170082" "11.56490040"
"401" "-8.74100018" "-17.06629944" "12.38090038"
"402" "-8.93929958" "-17.14509964" "12.52509975"
"403" "-9.20110035" "-17.32299995" "12.74440002"
"404" "-8.61340046" "-16.75000000" "16.24740028"
"405" "-8.68350029" "-16.72310066" "16.28179932"
"406" "-9.18360043" "-17.97139931" "18.60470009"
"407" "-8.90520000" "-15.92479992" "13.89750004"
"408" "-8.76990032" "-16.12870026" "17.14780045"
"409" "-10.10970020" "-16.81859970" "14.05459976"
"410" "-4.77969980" "-18.26219940" "15.88759995"
"411" "-5.56129980" "-16.62579918" "11.46889973"
"412" "-5.61940002" "-16.60510063" "11.49460030"
"413" "-5.37200022" "-16.26420021" "12.07129955"
"414" "-6.12290001" "-18.88010025" "14.91889954"
"415" "-6.18139982" "-18.81920052" "14.92380047"
"416" "-5.23309994" "-17.36969948" "19.34600067"
"417" "-5.03389978" "-16.48240089" "21.28219986"
"418" "-5.66709995" "-16.52879906" "18.99469948"
"419" "-8.09899998" "-17.71089935" "11.55930042"
"420" "-7.15829992" "-16.39609909" "13.23589993"
"421" "-7.25059986" "-16.43059921" "13.30930042"
"422" "-6.53380013" "-16.82360077" "18.60709953"
"423" "-7.69829988" "-16.04360008" "12.45440006"
"424" "-7.06580019" "-16.39030075" "17.43820000"
"425" "-8.35939980" "-16.77890015" "13.17290020"
"426" "-7.15819979" "-16.37730026" "18.74699974"
"427" "-7.71449995" "-17.06399918" "18.39819908"
"428" "-6.90170002" "-14.35589981" "13.83969975"
"429" "-8.26700020" "-16.23180008" "13.81799984"
"430" "-9.37670040" "-17.01849937" "12.88539982"
"431" "-9.07470036" "-16.65539932" "14.51360035"
"432" "-7.52899981" "-15.37520027" "19.55669975"
"433" "-8.55609989" "-16.45210075" "18.57869911"
"434" "-9.67710018" "-16.71139908" "13.88010025"
"435" "-10.23429966" "-17.10670090" "12.41839981"
"436" "-10.25749969" "-17.09250069" "14.38129997"
"437" "-8.22840023" "-14.79450035" "18.35079956"
"438" "-9.26480007" "-16.30360031" "18.99110031"
"439" "-5.25339985" "-16.44190025" "23.31509972"
"440" "-7.03270006" "-16.26140022" "0.01790000"
"441" "-7.21439981" "-16.30529976" "1.22839999"
"442" "-7.03009987" "-16.30080032" "1.81750000"
"443" "-4.39120007" "-14.80519962" "-0.58929998"
"444" "-7.58790016" "-15.92580032" "5.26650000"
"445" "-8.05669975" "-16.47410011" "10.54749966"
"446" "-7.93050003" "-16.52759933" "10.56389999"
"447" "-6.98080015" "-16.40180016" "1.04809999"
"448" "-6.97730017" "-16.41309929" "1.65690005"
"449" "-6.99340010" "-16.40180016" "4.12379980"
"450" "-6.99440002" "-16.43040085" "4.76620007"
"451" "-7.21530008" "-16.38710022" "8.86999989"
"452" "-7.20030022" "-16.37529945" "9.61960030"
"453" "-7.19990015" "-16.39699936" "10.41600037"
"454" "-7.18039989" "-16.36120033" "11.20870018"
"455" "-6.99749994" "-16.45089912" "11.24380016"
"456" "-6.19570017" "-17.32119942" "11.70189953"
"457" "-7.05600023" "-16.38669968" "4.90360022"
"458" "-7.00939989" "-16.42270088" "4.93050003"
"459" "-7.15560007" "-16.37280083" "5.56279993"
"460" "-7.09350014" "-16.37290001" "5.57969999"
"461" "-9.48989964" "-16.96820068" "12.91749954"
"462" "-9.62940025" "-16.73150063" "13.73799992"
"463" "-7.22650003" "-16.43910027" "7.75649977"
"464" "-9.16600037" "-16.94339943" "13.99470043"
"465" "-7.75050020" "-16.36380005" "10.85869980"
"466" "-8.87609959" "-16.51399994" "14.73610020"
"467" "-8.32009983" "-17.38380051" "13.45790005"
"468" "-7.87890005" "-16.43169975" "13.74839973"
"469" "-7.79510021" "-16.41370010" "13.74650002"
"470" "-8.49190044" "-16.72030067" "16.14579964"
"471" "-8.05049992" "-15.29909992" "15.89290047"
"472" "-7.06869984" "-14.06509972" "13.65200043"
"473" "-6.80569983" "-14.25419998" "13.88659954"
"474" "-8.71520042" "-17.91209984" "18.65299988"
"475" "-6.34670019" "-17.90139961" "10.43480015"
"476" "-8.50160027" "-17.83020020" "18.59659958"
"477" "-6.54250002" "-16.92219925" "12.42879963"
"478" "-5.25220013" "-15.32260036" "9.05280018"
"479" "-6.32950020" "-17.43779945" "11.92420006"
"480" "-6.99560022" "-16.46120071" "16.12380028"
"481" "-5.79740000" "-15.95530033" "12.73579979"
"482" "-6.61409998" "-17.05039978" "15.62989998"
"483" "-6.73430014" "-16.24830055" "17.14730072"
"484" "-5.92119980" "-17.34700012" "16.05299950"
"485" "-5.98990011" "-16.15189934" "17.17989922"
"486" "-5.35620022" "-17.95549965" "15.60369968"
"487" "-5.36369991" "-15.89719963" "17.02199936"
"488" "-4.69640017" "-18.17580032" "14.84430027"
"489" "-8.23499966" "-16.67460060" "9.88179970"
"490" "-9.14850044" "-17.43429947" "12.18309975"
"491" "-9.70269966" "-16.78510094" "13.61260033"
"492" "-8.65200043" "-16.97330093" "12.01029968"
"493" "-9.88889980" "-16.71030045" "16.06229973"
"494" "-9.05169964" "-16.45619965" "14.83619976"
"495" "-7.12489986" "-16.40880013" "11.23840046"
"496" "-7.25790024" "-16.34099960" "12.13780022"
"497" "-6.81869984" "-16.58379936" "11.54720020"
"498" "-8.07989979" "-17.72310066" "14.18669987"
"499" "-9.02250004" "-16.80640030" "16.61330032"
"500" "-8.36310005" "-15.08189964" "16.13809967"
"501" "-6.11780024" "-17.30459976" "11.49820042"
"502" "-7.18639994" "-16.18980026" "14.24709988"
"503" "-6.19420004" "-16.97459984" "12.19999981"
"504" "-6.62500000" "-16.17499924" "13.37290001"
"505" "-8.64290047" "-16.82250023" "18.29330063"
"506" "-8.93620014" "-16.37610054" "19.11149979"
"507" "-8.64719963" "-16.27630043" "19.11630058"
"508" "-6.04269981" "-15.64029980" "13.12989998"
"509" "-7.09049988" "-16.41720009" "15.77299976"
"510" "-8.17360020" "-16.83539963" "18.54660034"
"511" "-5.19750023" "-16.21389961" "12.03470039"
"512" "-7.09579992" "-16.40690041" "17.08580017"
"513" "-7.65710020" "-15.54150009" "18.57550049"
"514" "-6.15030003" "-17.58650017" "15.00920010"
"515" "-6.38299990" "-17.25819969" "15.78429985"
